TARGET,cus_employername,profit_loss_after_cost,agrgrp_writeoff
1.0,Westone Foods Limited,780.67,1.0
0.0,Highley Steel Ltd,-91.0,1.0
1.0,Knr Technology,226.75,
,Croydon College,7.75,
0.0,Asda,-51.0,1.0
1.0,Target Media,241.5,
,Morrisons,91.08,
0.0,Vinci Park/Apcoa Parking,-183.5,1.0
0.0,Admiral Insurance,-88.5,1.0
1.0,Paperchase Products,391.25,
0.0,Nhs,-79.75,1.0
0.0,Bray Engineering Ltd,-157.18,1.0
0.0,Lifetime Opportunities,-231.0,1.0
1.0,Och Ziff Capital Management,1292.72,
0.0,Iveco,-161.0,1.0
0.0,Durham County Council- Crook Primary School,-111.0,1.0
1.0,Js Sainsburys,734.33,
1.0,Partnerships In Care,152.58,
1.0,Dwp,716.53,
1.0,Bradford Audi,479.75,
1.0,Skanska,1314.0,
0.0,Tesco,-11.0,
0.0,Caremark,-73.5,1.0
1.0,British Airways,1086.5,
1.0,Shearings,556.5,
0.0,Dixons Stores Group Plc,-11.0,
1.0,Nestle,108.08,1.0
1.0,Arcadia,127.5,
1.0,Grosvenor Casino,116.5,1.0
,Stonham,72.75,
0.0,Morrisons,-211.0,1.0
0.0,Nightfreight,-53.5,
1.0,Ugo Foods Ltd,312.12,
0.0,Vesuvius Uk Limited,-161.0,1.0
1.0,Rapp,154.78,
1.0,Police Service Northern Ireland,1011.5,
,The Salvation Army,91.21,
1.0,Shelter,739.0,
0.0,Chep Uk,-2.25,
1.0,Maplehurst Nursing Home,383.17,1.0
0.0,Npower Buisness,-133.5,1.0
0.0,Syndicate Hotels Ltd,-38.44,1.0
0.0,Teekay Shipping,-56.0,1.0
0.0,Safehands Green Start Nursery,-71.0,1.0
1.0,Nhs - Kingston Hospital,260.4,
0.0,Baa - Stansted Airport Limited,-238.5,1.0
0.0,Jjb Sports,-220.54,1.0
1.0,Kuehne+Nagel,420.25,
0.0,Valuation Office Agency,-214.5,1.0
,Royal College Of General Practitioners,30.07,1.0
,New Horizons Trust,76.5,1.0
1.0,Arnold Clark,1229.0,
0.0,Sheltonlock Pre-School,-134.75,1.0
0.0,Diffusion,-22.24,
0.0,Henderson Retail Ltd (Spar),-13.5,
0.0,Army,-86.0,1.0
,Meliny Homes,34.0,1.0
0.0,Veolia Enveronmental Services,-186.0,1.0
0.0,Charlton House Catering,-211.0,1.0
1.0,Barclays,165.65,
1.0,Bskyb,215.94,
1.0,Kwik Fit,166.28,
1.0,Hm Forces,442.46,1.0
,Newcastle University,1.5,
,Grosvenor Casinos,27.0,1.0
0.0,Contract Vehicles,-176.0,1.0
1.0,Iceland,468.45,
0.0,Global Switch,-186.0,1.0
,Augentius Fund Administration,74.0,
0.0,Teleperformance,-236.0,1.0
0.0,Dwp,-253.5,1.0
1.0,Hmrc,340.72,
1.0,Bmi The Chiltern Hospital,1041.5,
0.0,Flagship Housing,-171.0,1.0
1.0,Hermes,436.5,1.0
0.0,Nsl,-331.0,1.0
0.0,Family Mosaic,-163.5,
,Conduit Uk,30.18,
0.0,Newham University Hospital,-186.0,1.0
1.0,Your Homes Newcastle,378.75,1.0
,Brent Council,49.08,
1.0,Csc,206.5,
1.0,Luton Borough Council,464.0,
0.0,Ricoh,-161.0,1.0
0.0,Inside Out Securiy Ltd(  Imperial Tabacco Sight),-74.54,1.0
0.0,Cash Converters,-52.25,1.0
1.0,Asda Stores Ltd,520.53,
1.0,Tesco,147.75,
,Army,39.0,
0.0,Medirest,-313.5,1.0
1.0,College Of North West London,1006.5,
,Boots The Chemist Plc,46.88,
1.0,Kings College Hospital Nhs,1069.0,
,Menzies,14.0,1.0
0.0,Mohawk International,-245.5,1.0
1.0,Natures Way Foods,120.25,1.0
0.0,Ymca,-214.75,1.0
0.0,Romec,-136.0,1.0
0.0,Stead And Simpson,-51.0,1.0
1.0,St James Hospital,374.0,1.0
1.0,Grosvenor Casino,203.5,
1.0,F.Duerr,681.36,
1.0,Lbm-Vodafone,165.0,
1.0,Wrexham County Borough Council,264.0,
1.0,Suffolk County Council,265.25,
1.0,East Midlands Trains,249.0,1.0
1.0,Beds Flooring,115.25,
1.0,The London Clinic,269.0,
1.0,Betfair,1231.35,
0.0,Virso Communications,-181.0,1.0
,Pets At Home,69.0,1.0
,Gala Coral Group,13.5,1.0
1.0,Bective Leslie Marsh,643.5,
0.0,Hafod Y Green,-186.0,1.0
,Rbs,7.75,
1.0,M.O.D,1351.5,
0.0,Veolia Enviromental Services,-13.5,
0.0,Housing 21,-171.0,1.0
0.0,South Wales Police,-122.56,1.0
,Royal Marines,14.0,
0.0,New Century Financial Services,-213.5,1.0
0.0,Sainsburys,-201.0,1.0
0.0,Hammerite,-166.0,1.0
0.0,Mercedes Benz,-129.31,
0.0,Tesco,-3.5,
0.0,Army,-206.0,
0.0,Slrs,-233.95,1.0
1.0,Cooperative,795.25,
0.0,Job Centre Plus Dwp,-101.0,1.0
0.0,Extra Personnel,-264.75,1.0
1.0,West Midlands Ambulance Service,771.27,
,Cecil Jones College,13.75,1.0
0.0,Weatherseal,-186.0,1.0
0.0,Shop Direct Group,-178.5,1.0
1.0,Carcraft,277.5,
0.0,Morrisons,-44.75,
1.0,Sinclair Group,688.53,
,Co-Op,92.56,1.0
,G4s,96.5,1.0
1.0,Met Healthcare Ltd,162.5,
0.0,Nhs Lanarkshire,-133.5,1.0
0.0,Hm Forces,-120.25,1.0
1.0,Caerphilly Didtrict Miners Hospitalaneurin Bevan,835.0,
1.0,Boots Ltd,134.0,
1.0,Travis Perkins,473.0,
,Mod,44.0,1.0
1.0,Zurich Insurance,529.0,
,Toby Carvery,69.0,1.0
,Corby Welfare Rights +Cab,65.0,1.0
0.0,Psni/Police Service Of Northern Ireland,-51.0,
0.0,Eon,-176.0,1.0
1.0,Duchy College,918.5,
0.0,City Facilites - Asda,-154.75,1.0
1.0,Hill Vellacott,249.0,
1.0,Santander,282.5,
0.0,Sports Direct Ltd,-16.5,1.0
0.0,Hm Revenue And Customs,-236.0,1.0
,Prudential Health,35.96,
0.0,Intermedia,-176.0,1.0
1.0,H M Forces,143.2,
1.0,Aramark,157.25,
1.0,Hmrc,580.25,1.0
,Network Rail,47.45,1.0
1.0,Bombardier Shorts,1180.82,
0.0,Green Bower Bmw,-186.0,1.0
0.0,Motivair,-10.66,1.0
1.0,Marks And Spencers,168.27,
0.0,Meggitt Polymer Solutions,-106.0,1.0
0.0,British Airways,-64.75,
1.0,Whsmith,813.5,
1.0,Mitchell And Butlers,634.92,1.0
1.0,Morrisons,1393.0,
1.0,Army,394.0,
1.0,Ves,240.88,
0.0,P & H Sweetdirect,-129.75,1.0
1.0,Unipart Group Of Companies,116.25,
1.0,Whitbread - Millers Barn,151.5,
1.0,Pulse Staffing Ltd,166.5,
1.0,Enterprise Plc,969.0,
1.0,Queens Hospital,204.0,
0.0,The Shehadeh Medical Centre,-122.25,1.0
,Rudolph & Hellmann,4.0,1.0
,Gemac Hydraulics,42.27,
0.0,Bensons,-92.99,1.0
,Ils/Independant Living Services,16.5,1.0
0.0,R.Niell & Sons,-31.0,1.0
