TARGET,cus_employername,profit_loss_after_cost,agrgrp_writeoff
0.0,The Range,-276.75,1.0
,Rush Croft Sports College,18.75,
1.0,Ministry Of Defence,191.4,
,Nhs Ashford And St Peters Trust,47.0,
1.0,Army,125.25,
,National Monitoring,8.25,
,Boots,26.55,
1.0,Dj Renwick Agricultral Svs / Richard Taylors,212.0,
,Mccolls,38.92,
0.0,Dwp,-327.0,1.0
1.0,Crossroads,103.5,
,Vsg,67.2,
0.0,Whsmith,-161.0,1.0
,Rolls Royce,6.0,
1.0,Portsmouth Hospitals,180.0,
,Tesco Ltd,54.0,
0.0,Lightbridge Support Services Ltd,-114.25,1.0
0.0,Sunglass Hut,-6.5,
1.0,Haart,392.75,
,Frimley Park Hospital Nhs Trust,58.4,
0.0,Wholesale Lens Corporation,-6.5,
0.0,The Perfume Shop,-151.875,
1.0,Virgin Media,242.66,
0.0,3663,-14.125,
1.0,Cardiff And Vale Nhs Trust,274.5,
0.0,Unite Plc,-43.625,
,B+Q,36.25,
1.0,Lookers Plc,165.75,
,Eon,80.8,
,Royal Navy,93.0,
1.0,Preferred Choice Ltd,215.0,
1.0,Wincanton,210.65,
,Glassier,52.5,
0.0,British Army,-101.7,
0.0,Deckers Europe,-94.4,
0.0,Gala,-158.5,1.0
0.0,Asda,-186.0,1.0
0.0,Tnt,-186.0,1.0
1.0,Turning Point Scotland,259.0,
,Hire Station,3.75,
,Allianz,8.25,
,British Army,67.0,
1.0,Lloyds Tsb,103.125,
1.0,Jordans Ryvita Co,200.0,
,Spring Dew,8.25,
0.0,British Telecom,-312.0,1.0
,P C Coaches,97.84,
1.0,Royal Navy,200.25,
0.0,Santander,-166.0,1.0
1.0,Millbrook Healthcare,177.5,
0.0,Lyme Regis Town Council,-186.0,1.0
,Hydra Products,53.92,
0.0,British Gas,-34.075,
0.0,Elite,-251.0,1.0
1.0,Crown Plaza Hotels,103.05,
1.0,H-M Forces,226.8,
1.0,Hogan Lovells,137.03,
0.0,Four Seasons Health Care - Evendale Care Work,-186.0,1.0
1.0,Gainford Care Homes,111.0,
1.0,Hm Forces,107.8,
0.0,Aitchison Raffetty,-123.43,
1.0,Alcoa Gb,159.125,
0.0,Total Support Service ( Tss Hire Ltd ) House Fraser,-6.5,
0.0,Macvities,-216.69,1.0
0.0,Carmand Ltd,-223.4,1.0
,Capita,85.0,
1.0,B&Q,132.5,
,Securitas Security Services,10.75,
1.0,Xlntelecom,110.5,
0.0,Cic,-103.0,1.0
0.0,Tesco Plc Stores,-149.375,1.0
0.0,Hyperama,-106.5,1.0
0.0,William Hill,-186.0,1.0
,Voyage,40.75,
0.0,Ak Care,-123.25,
0.0,Boots,-97.5,1.0
1.0,Leonard Cheshire Disability,141.0,
0.0,Metromail,-73.5,
1.0,London Borough Of Redbridge,207.375,
,Uk Mail,8.25,
0.0,Aldingbourne Trust,-291.75,
0.0,Avc,-164.75,
,Shelton Care Ltd,39.625,
0.0,Isa Trading Ltd,-186.0,1.0
0.0,Raf,-131.4,
0.0,Wilkinson,-136.0,1.0
0.0,Comet Plc,-146.0,1.0
0.0,Goldring Industries / Federal Aerospace,-102.0,1.0
0.0,Shorrock Trichem,-208.74,
1.0,Premierfoods,101.6,
1.0,Transport For London,170.25,
1.0,Mitie Security London Ltd,145.43,
0.0,Zadig Et Voltaire Uk,-211.0,1.0
0.0,Southeastern Trains,-21.5,
0.0,Tesco,-186.0,1.0
0.0,Stockport Cp,-226.0,1.0
,Chc,-0.6,
,Bskyb,33.0,
1.0,Matthew Clark Wholesale Ltd,200.25,
,Rentokil Initial,32.6,
,Allen And Allen,3.75,
,The Albemarle Centre,91.1,
1.0,Bt,465.75,
1.0,Jirehouse Capital,171.32,
,Cargo Control Limited,32.25,
0.0,Marks And Spencers,-118.7,
,H M Forces,0.5,
0.0,Aramark,-28.28,
1.0,Asda,348.5,
,Martin Mccolls,95.81,
,British Army,17.5,
0.0,University Hospital Of North Staffordshire,-103.0,1.0
0.0,Xmo Strata,-66.75,1.0
0.0,Waltham Forest Council,-267.89,
0.0,Adsec Group,-211.0,1.0
0.0,99P Stores,-259.125,1.0
0.0,Mace Ltd,-251.0,1.0
,London Borough Of Hackney,80.5,
0.0,Telecom World,-211.0,1.0
1.0,Maple Fine Foods,198.1,
0.0,Asda,-118.0,1.0
,H.M.Forces,8.25,
0.0,J.D.Wetherspoon / Moon Under Water,-136.0,1.0
0.0,Capita,-236.0,1.0
0.0,House Of Fraser,-12.4,
1.0,Bcb International,165.75,
,David Mellor Design Ltd,0.875,
1.0,Enterptise,318.75,
0.0,Kingspan Insulation Ltd,-141.2,
0.0,Channels And Choices,-25.97,
1.0,Mount Pleasent Hotel,407.75,
,The Listening Company / Serco,41.25,
0.0,Bupa,-97.5,1.0
,The Limes Residential Care Home,20.05,
0.0,Pec,-106.0,1.0
0.0,Asda,-6.5,
0.0,Tesco Plc,-276.75,1.0
0.0,Spirit Group - Bakers Dozen,-12.31,
,Sports Direct.Com,59.0,
0.0,Southern Cross Healthcare,-97.5,1.0
0.0,Mentor,-11.25,
0.0,Cashconverters Bedford,-156.0,1.0
,Qmetric,21.75,
0.0,Bskyb,-116.0,
0.0,Nantwich Chiropractic Clinic,-47.5,
1.0,South Warwickshire Foundation,141.0,
0.0,Cunningham Cash Register,-75.6,
1.0,Think Money,200.0,
0.0,Arena Square,-113.0,1.0
0.0,Durham County Council,-276.75,1.0
,Nhs Northampton Hospital,69.67,
0.0,Morrisons,-132.5,
0.0,Smurfit Kappa,-161.0,1.0
0.0,Tesco,-126.75,1.0
0.0,Harrogate Borough Council,-7.25,
1.0,Luton Borough Council,123.84,
0.0,Rhino Precast Ltd,-156.75,1.0
0.0,Army,-6.5,
1.0,St James Hospital,214.5,
0.0,Nsl,-70.25,
0.0,Network Rail,-14.75,
0.0,Celsian Education,-55.5,
0.0,Portsmouth Football Club,-186.0,1.0
,Crawford And Company,3.83,
1.0,Skyware,244.75,
1.0,The Co-Operative Group,118.5,
1.0,Hogg Robinson Group,658.25,
0.0,Hm Forces,-6.75,
0.0,Currys Megastore,-186.0,1.0
0.0,The Royal Army,-97.5,
0.0,Bureau Veritas,-30.25,
0.0,John Lewis,-114.75,
0.0,Mountain Warehouse,-259.95,1.0
0.0,Northern Security,-141.75,1.0
0.0,University Of Leicester,-6.5,
1.0,Hilton And Fox,212.25,
0.0,Boots,-6.5,
0.0,Franciscan Primary School,-302.65,
1.0,Asphaltic,288.75,
,Lifestyle Media Group Limited,64.55,
0.0,Bt,-236.0,1.0
0.0,Nhs Professional,-147.5,1.0
0.0,Unipart,-186.0,1.0
0.0,Whitbread Plc,-106.5,1.0
1.0,Precision Micro,117.38,
1.0,Dwp,149.25,1.0
,M Care Ltd,1.0,
0.0,Haven Power,-155.0,
0.0,G4s Secure Solutions,-30.5,
1.0,West Sussex County Council - Palatine School,153.0,
0.0,Sitel,-43.14,
,Diamond Bus Company,24.0,
,Thomson Local,8.25,
0.0,Southampton City Council,-74.0,
0.0,Ramada Encore Nec,-186.0,1.0
,Dow Waste,52.75,
0.0,Sainsburys,-236.0,1.0
0.0,Boots,-207.4,1.0
0.0,Lbm,-188.25,1.0
0.0,Hm Forces,-90.25,
0.0,Direct Textiles,-54.75,
0.0,Voice Marketing,-184.75,
1.0,Orchard Care Homes,207.27,
0.0,Altons Garden Centre,-164.6,
0.0,Glen Heathers,-186.0,1.0
,Dwp,75.3,
0.0,Asda,-41.875,1.0
,V S G Security,8.0,
0.0,Delta Security,-236.0,1.0
0.0,Mitie Security Ltd,-259.125,1.0
0.0,Lankelma Ltd,-120.6,1.0
0.0,Hm Forces,-208.75,1.0
0.0,Nics,-179.14,
1.0,Tees Active Ltd,360.0,
0.0,Dhl,-141.75,1.0
,Tesco,52.5,
,Mgt Plc,31.3,
0.0,Dwp,-259.0,
,Bsbr Browns Shortbreak Respite,36.05,
,Uk Atomic Energy Authority - Ukaea,34.8,
,Comprehensive Cleaning Services,8.25,
,Mod,8.25,
0.0,Motor Vision Sport,-124.125,1.0
1.0,British Army,214.75,
0.0,Northern Constabulary,-98.0,
0.0,Perspective,-173.56,
0.0,Flintshire County Council,-246.875,
1.0,Royal Sun Alliance,170.25,
0.0,Robert Wiseman,-141.5,1.0
0.0,Careline Services,-141.75,1.0
,Tesco,47.0,
,Claude Hellowell,46.8,
0.0,Museum Of London,-263.25,
0.0,Spar,-136.0,1.0
1.0,Dsgi Group,175.675,
0.0,Nhs Lothian,-55.5,
0.0,Sainsbury's Plc,-236.0,1.0
1.0,Ubht,374.75,
0.0,Arcadia Group,-79.0,
1.0,Tesco,227.29,
0.0,Westbury Filtermation Ltd,-161.0,1.0
0.0,Argos,-211.0,
1.0,Dnata,305.475,
0.0,Army,-126.0,
0.0,Cardinal Security,-141.75,1.0
0.0,Chubb Locks Custodial Ltd,-11.25,
0.0,Lloyds Pharmacy,-276.75,
0.0,Utilirty Management Services,-192.0,1.0
0.0,Creative Support,-201.0,1.0
,Sanmet Ltd,76.49,
0.0,Stagecoach Uk,-33.0,
0.0,G4s,-102.25,1.0
0.0,Wrexham County Borough Council,-176.0,1.0
0.0,Morrisons,-136.0,1.0
0.0,Compass Group Uk,-186.0,1.0
0.0,British Army,-151.0,1.0
0.0,Edi,-41.75,
0.0,Orchid,-186.0,1.0
0.0,Rascals Day Nursery,-6.5,
0.0,Asda,-166.0,1.0
0.0,Westminister Homecare,-186.0,1.0
0.0,Sse Contracting,-28.5,
0.0,New Look,-132.5,1.0
0.0,Countrystyle Foods,-141.5,1.0
1.0,Mid Cheshire Hospitals - Leighton Hospital,377.75,
0.0,Akzonobel,-137.55,
0.0,Royal Mail,-6.5,
,Newsquest,95.25,
,Aspira Travel,68.59,
,Army,34.8,
0.0,Carewatch,-49.75,
0.0,Hm Forces,-6.5,
1.0,Broadcast Support Services,135.25,
1.0,St Georges Nursing Home,200.5,
0.0,Marks And Spencers,-14.0,
0.0,Franklin Templeton,-15.6,
0.0,Cdo Group Ltd,-25.375,
0.0,First Bus,-23.75,1.0
,Ge Money,8.25,
0.0,Castletown Primary School/Sunderland Council,-137.5,1.0
0.0,Amazon,-161.0,1.0
0.0,Met Police,-159.55,
1.0,Asda,775.5,
0.0,Tesco Bank,-68.25,1.0
0.0,Titan Publishing Group / Forbidden Planet,-186.0,1.0
0.0,Royal Air Force,-166.25,
1.0,Blueearthfoods,554.5,
1.0,Everything Everywhere,119.005,
0.0,Dreams,-186.0,1.0
0.0,Burlington Court,-186.0,1.0
0.0,Seamill Hydro,-112.5,1.0
,Next Plc,81.0,
0.0,Akzo Nobel,-226.75,1.0
0.0,Justin Osbourn Ltd,-136.0,1.0
,Royal Dragoon Guards,14.15,
,Milton Keynes Council,5.45,
0.0,Perth Royal Infirmary,-62.75,
0.0,Environmental Waste Controls,-101.75,1.0
0.0,Newey & Eyre,-186.0,1.0
0.0,Veolia Environmental Services,-227.75,1.0
0.0,Tesco,-236.0,1.0
0.0,Royal London Hospital Nhs Trust,-22.5,
0.0,British Army,-141.75,1.0
,Tesco,8.0,
,2 Rifles,97.35,
0.0,Tesco,-186.0,1.0
0.0,Luton And Dunstable Hospital,-107.26,
0.0,Tesco,-206.0,1.0
0.0,Swbh Nhs Trust,-152.76,1.0
1.0,Thwaites Brewery,318.5,
0.0,Care Uk,-156.0,1.0
1.0,De La Rue,270.05,
0.0,Teesesk And Wear Nhs Trust,-6.5,
0.0,The Fire Crest,-132.5,1.0
0.0,Lancashire Council - St. Mary's Catholic Primary S,-236.0,1.0
0.0,Peta,-166.0,1.0
0.0,Tesco,-97.5,1.0
0.0,Q Hotels,-212.0,
0.0,Buildbase,-205.0,
0.0,Allied Care,-119.41,
0.0,Progress Rail,-276.75,
0.0,First Central,-136.0,1.0
1.0,British Army,126.75,
0.0,Homecare Support,-169.95,1.0
0.0,Dwp,-66.75,
,Novatech,8.25,
0.0,Serco,-234.5,
1.0,Axa Insurance,318.0,
1.0,Whiskers Solicitors,288.025,
0.0,Tnt Uk Ltd,-131.5,1.0
0.0,Hewden,-186.0,1.0
0.0,Mission Care,-236.0,1.0
1.0,York Pullman Bus Company,109.25,
0.0,Lbm,-259.125,1.0
0.0,Travis Perkins Ltd,-161.0,1.0
1.0,Hilton Hotel,289.0,
1.0,Morrisons,258.75,
0.0,Sita Suez,-186.0,1.0
0.0,Sound Technology,-161.0,1.0
,Evonik New Energies Uk Ltd,-0.55,
0.0,Vertu,-186.0,1.0
,Ashcroft Pollard & Co,14.12,
0.0,Compass Group,-81.875,
0.0,Amadeus/N E C Group,-22.0,
0.0,Team Support,-136.0,1.0
1.0,Compass Group,114.75,
0.0,Sealed Air Ltd,-141.75,1.0
0.0,Easton Sheet Metal Ltd,-136.0,1.0
,Ukba,99.56,
0.0,Lm Spray,-251.0,1.0
0.0,Sitel,-236.0,1.0
,Securitas Alert Services,11.5,
1.0,Hq Hospitality,237.25,
0.0,Tesco,-186.0,1.0
0.0,Harvester,-188.25,1.0
1.0,Swansea University,148.575,
,Haringey Council,8.25,
0.0,Royal Air Force,-133.61,
,First Choice Facilities,21.675,
0.0,Corbetts Bookeepers,-64.75,
0.0,Right Care,-186.0,1.0
1.0,Warrington & Halton Hospitals Nhs Foundation Trust,244.75,
0.0,Hilton Hotel Ltd,-236.0,1.0
1.0,Warwick University,123.91,
0.0,Solarshade Blinds,-8.75,
1.0,Rosendale Primary School,289.0,
0.0,Whitestone Solicitors,-116.0,1.0
0.0,Aldi Stores Ltd,-60.045,
0.0,First Capital Connect,-141.75,1.0
0.0,Dhl,-293.375,
1.0,British Army,133.875,
,Army,23.0,
0.0,Survival Craft,-96.0,
0.0,Northgate,-241.5,1.0
,Interserve Fm,52.79,
0.0,Bt,-186.0,
1.0,Starkey Labs.,259.0,
0.0,Army,-25.2,
0.0,Sainsburys,-106.43,
,Lidl Uk Gmbh,23.0,
1.0,Ats,333.25,
0.0,Nhs Ayrshire And Arran,-196.0,1.0
,Flintshire County Council,93.88,
0.0,Cet Glass,-111.875,
0.0,Vion Food Group,-168.14,
,Hmg/Army,89.3,
0.0,Support Services Group,-211.0,1.0
0.0,South Lanarkshire Council,-6.5,
,William Hill,93.84,
0.0,Exova,-136.0,1.0
0.0,Bp Oil,-276.75,1.0
,Sainsburys,50.05,
0.0,Norbert Dentressangle,-97.25,
,Plastic Bottle,80.725,
1.0,Four Seasons,141.0,
0.0,Martin Mccolls,-55.55,
1.0,Asda,149.125,
,Orchard Way Primary School,31.85,
,Elisabeth The Chef,2.0,
1.0,Scottish Ambulance Service,241.0,
1.0,Profile Security,103.43,
0.0,Wates Group,-215.725,
1.0,Tesco,111.75,
1.0,Bt Plc,156.0,
0.0,Armed Forces,-227.4,
0.0,Bt,-186.0,
,Kearsley Academy,8.25,
1.0,Embroiderers' Guild,140.5,
1.0,Tesco,200.25,
0.0,Leisure Connection,-125.5,
,Royal Mail,25.68,
0.0,Four Seasons Health Care,-186.0,1.0
0.0,Community Lives Consortium,-120.95,
,Armed Forces,8.25,
0.0,Army,-6.5,
0.0,Hampshire County Council,-51.0,
0.0,W Boyes & Co Ltd,-51.85,
,Meeres Civil Engineering,49.8,
0.0,Bm Trada Certification,-11.25,
1.0,3663,139.25,
,Britvic Soft Drinks Ltd,8.25,
0.0,Q Hotels,-110.75,
1.0,Jca Group,377.75,
,Borough Care Limited,76.5,
0.0,Cambridge City Council,-140.75,
0.0,Itel Electronics,-161.0,1.0
0.0,Idt Global Ltd,-36.005,1.0
1.0,Bolton Council,110.25,
0.0,Biffa,-136.0,1.0
0.0,Fareham College,-12.4,
0.0,Severn Care,-186.0,1.0
0.0,Yorkshire Exhaust Specialist,-186.0,1.0
0.0,Naturesway Foods,-201.275,
1.0,B&M,156.0,
1.0,Army,280.4,
,Morrison Supermarkets,60.13,
,Waitrose,82.0,
0.0,Bluebird Care,-186.0,1.0
0.0,Army,-40.0,
0.0,Access Self Storage,-44.875,
1.0,Bupa,643.75,
0.0,Army,-18.0,
1.0,Boc,154.25,
0.0,Southend Borough Council,-102.75,1.0
0.0,Pauleys,-186.0,1.0
1.0,Morrisons,133.0,
1.0,Express Gifts,259.0,
0.0,Bt,-186.0,
,Extract Technology,8.25,
,Burdons,31.71,
,Norselands,0.875,
0.0,British Army,-81.5,
1.0,Aramark,186.21,
1.0,99P Stores Ltd,141.25,
0.0,Hmrc,-163.25,
0.0,Nhs East Lancs Health Authority,-151.0,1.0
0.0,Rowan Drilling,-191.0,1.0
1.0,Arjo Huntleigh,189.6,
0.0,Royal Marines,-14.375,
1.0,Ibm,298.475,
0.0,Wincanton Screwfix,-186.0,1.0
0.0,Mayr Melnhof Packaging Uk Ltd,-106.0,1.0
0.0,Carisbrooke Shipping Ltd,-133.25,1.0
,Wakefield Met Dis Council,8.25,
0.0,Jcb,-186.0,1.0
0.0,Somerset County Council,-55.5,
0.0,Army,-58.5,
0.0,Phones4u,-136.0,1.0
,Lidl Supermarket,80.5,
1.0,The Cedars St John Trust,397.9,
0.0,Luckings Transport,-136.0,1.0
,Mercedes-Benz,82.25,
0.0,Mitchells & Butler - The Encore,-226.75,1.0
,Net-A-Porter,8.25,
0.0,Serco,-141.75,1.0
0.0,Tesco,-137.625,
0.0,North Country Leisure,-227.4,1.0
,Nhs - New Street Surgery,70.75,
1.0,Coral,139.75,
0.0,O2,-161.0,1.0
,Emp Media Plc,8.25,
,Morrisons Plc,24.66,
1.0,Bdl Hotels,451.47,
,Halfords,5.3,
0.0,Stax,-186.0,
0.0,Bidvest Logistics,-161.0,1.0
0.0,Budgens,-106.5,1.0
0.0,Saga Homecare,-46.0,
0.0,Birmingham Metropolitan College,-276.75,1.0
,Bank Of Scotland,28.6,
0.0,Army,-186.0,1.0
0.0,Central Manchester Foundation Trust,-188.25,
0.0,Per Lui,-158.25,
,Story Worldwide,36.6,
0.0,Nestle Purina,-220.55,
1.0,South Staffs Pct,214.75,
0.0,Argus Care,-179.75,
1.0,Morgan Sindall,207.125,
1.0,Princess Of Wales Hospital,276.45,
,Clark Thomson,32.25,
0.0,Tesco,-202.75,1.0
0.0,Post Office Ltd,-186.0,1.0
0.0,Warmsure,-216.0,1.0
,Masson House,49.24,
0.0,Tesco,-97.25,1.0
1.0,Saisnbury's,176.83,
0.0,Stonegate Breweries,-188.25,1.0
0.0,Tesco,-262.5,
0.0,Dorothy Perkins,-186.0,1.0
0.0,Dumfries@Galloway Council,-53.0,1.0
0.0,Abbeyfeild,-186.0,
0.0,Stax Trade Centre,-186.0,
0.0,Arnold Clark,-167.0,1.0
,Selco,5.65,
0.0,Betfred,-136.0,1.0
,Clipper Logistics Group Ltd,0.875,
,Debenhams,42.575,
0.0,Vion Halls,-136.0,1.0
0.0,The Royal London Hospital,-236.0,1.0
0.0,Town And City Parking,-291.94,
0.0,Eastern Waste Disposal,-151.0,1.0
,Chopd,77.0,
1.0,Mid Devon District Council,596.3,
,Tesco,35.875,
0.0,Ram,-102.75,1.0
,Four Seasons Health Care,79.05,
0.0,Sibelco Uk,-141.75,1.0
,One Stop,8.25,
0.0,Homelife Carers,-276.75,1.0
1.0,Tesco,173.7,
0.0,Debenhams,-188.25,
,Wrvs,-0.6,
0.0,Teletech,-21.5,
,Lq Housing Trust,97.0,
0.0,Baxters,-174.0,1.0
,Moray Council,94.5,
,Falkirk Council,65.75,
0.0,Bradford City Community Foundation,-253.62,1.0
0.0,Tesco,-169.75,1.0
0.0,Eurocell,-136.0,1.0
0.0,Nhs Professionals,-186.0,1.0
,Ubs,37.75,
0.0,Tesco,-186.0,
1.0,Stevens And Co,150.69,
0.0,Gbm Support Services,-14.12,
0.0,Blaenau Gwent County Borough Council,-203.25,1.0
0.0,Specsavers Optician,-211.0,1.0
0.0,Srl,-6.5,
1.0,Veolia Environmental Services,539.25,
0.0,Murco,-186.0,1.0
0.0,British Army,-65.4,
,Ultimate Security Services Ltd,45.87,
0.0,Fergusons Transport,-6.5,
0.0,Eurofriction,-224.125,1.0
0.0,Invicta Direct,-184.75,
,Hodgson Sealants,98.375,
0.0,Ema Textiles Ltd,-175.31,
0.0,Cleanbrite,-236.0,1.0
0.0,Cleanbrite,-208.75,1.0
0.0,Connection Fitness,-67.5,
0.0,British Army,-99.32,
0.0,Financial Marketing & Communications,-141.75,1.0
0.0,Express Debt Solutions,-186.0,1.0
,Secure Health,8.25,
0.0,Gsh Group,-136.0,1.0
,Veolia Environmental Servic,23.0,
0.0,Hmforces,-186.0,1.0
,Post Office Ltd,8.25,
,Jd Sports Fashion,56.925,
,Comtec Enterprises,8.25,
0.0,Halifax,-18.9,
1.0,City Link,177.75,
,Hm Forces,18.75,
0.0,Adm Pressings,-151.0,1.0
0.0,Contour,-161.0,1.0
0.0,Stax,-236.0,
,Conduit Pm,37.5,
0.0,Latymer School,-161.0,1.0
0.0,Shoezone,-151.0,1.0
,Southern Counties Fresh Foods - Rwm Food Group,16.28,
0.0,Brush Traction,-137.0,1.0
0.0,Intraining,-121.5,1.0
0.0,Asos,-136.0,1.0
0.0,Tesco Plc,-181.67,
0.0,Jay Accountants,-521.0,
1.0,John Lewis Plc,141.25,
1.0,Morvern Care,185.25,
0.0,O2 Uk,-76.75,
1.0,Next Plc,306.95,
0.0,University Of York,-236.0,1.0
0.0,Dhl International,-276.75,1.0
,National Grid,91.45,
0.0,Drive Vauxhall,-48.55,
0.0,Asda Stores Ltd,-236.0,1.0
,South Tyneside Nhs,8.25,
,2Touch,68.5,
,Crown Prosecution Service,52.5,
1.0,Showerpower,126.0,
0.0,Acorn Park Nursing Home,-53.25,
0.0,Tiptree,-41.0,
,Camden And Islington Nhs Tr,61.92,
0.0,Pendragon,-327.0,
0.0,Ramond Ltd,-145.12,
1.0,Royal Navy,124.75,
1.0,National Express,215.0,
,Blackrock Investments,46.6,
1.0,Center Parcs,196.25,
,Lscare,37.0,
0.0,British Army,-6.5,
1.0,Materials Solutions,200.0,
,Fieldworks,0.875,
0.0,Essex County Council,-33.35,
0.0,Birmingham Motorist Centre,-128.7,1.0
0.0,Screwfix,-51.0,
,Metropolitan Police,12.625,
,Sunlight,88.4,
0.0,Transport For London,-234.75,
1.0,B And M Retail Ltd,243.75,
0.0,Jetstream Logistics,-206.0,
,Bca Research,81.0,
,Adidas,20.05,
0.0,Taylor Shaw Ltd,-161.0,1.0
,British Gas,76.5,
0.0,Sita Uk,-141.75,1.0
,Bdl Hotels/Whitehouse Hotel Worcester,8.25,
0.0,John Lewis,-114.0,
1.0,Octavian,107.75,
0.0,O2,-211.0,1.0
,Morrisons,8.25,
0.0,Tesco,-184.75,
0.0,St Andrew's Health Care Northampton,-186.0,1.0
1.0,Cross Roads Care,241.0,
,Prout Engineering,6.5,
0.0,Rentokil,-56.75,1.0
0.0,Securitas,-4.59,
0.0,Nhs Fife,-6.5,
0.0,London Borough Of Islington,-266.0,
1.0,Sainsburys,121.0,
1.0,Domestic And General,247.2,
0.0,Christchurch Harbour Hotel,-10.5,
0.0,Plymouth Council,-126.375,
0.0,National Society For Epilepsy,-271.7,
0.0,Colemans Co.,-112.0,
0.0,Suffolk County Council,-114.75,
0.0,Jd Sports,-141.5,
1.0,James T Blakeman And Son,160.75,
,The P&A Partnership,8.25,
,Lloyds Banking Group,82.25,
0.0,Stonegate,-186.0,1.0
0.0,Asda Wallmart,-266.0,1.0
0.0,Bolton Audi,-141.75,1.0
0.0,Greenvale,-69.75,
1.0,Welcome Break,363.0,
0.0,Arco,-206.5,1.0
0.0,Boots,-236.0,1.0
,Morrisons,47.53,
,Phoenix It,7.25,
0.0,Bp Connect,-211.0,1.0
0.0,Kemlite Crane Composites,-161.0,1.0
0.0,Provide Sess,-76.425,1.0
0.0,Poundstretcher,-236.0,1.0
,Darwen Hcc Pharmacy,8.25,
0.0,Lateral Design Concepts Ltd,-236.0,1.0
,Ladybank Tyres,37.5,
0.0,St Christophers School,-94.25,
,Sainsbury's Supermarkets Ltd,23.35,
,Tesco,58.65,
1.0,Hsbc,148.375,
0.0,Heartland High School,-188.25,1.0
1.0,Bertram Books,246.95,
0.0,Tesco,-255.6,1.0
1.0,Lloyds Banking,391.3,
1.0,Ocs Security,190.375,
0.0,Sitel Uk Limited,-186.0,1.0
,Convergys,8.25,
0.0,Bank Of America,-97.5,1.0
0.0,Confetti & Lace,-6.5,
0.0,Kerry Food - Noon Products Ltd,-37.25,
0.0,Hayes Cottage,-34.35,
0.0,Asda,-236.0,
0.0,Saint Gobain,-236.0,1.0
0.0,Carphone Warehouse,-201.0,1.0
1.0,Ecocleen,141.25,
,Vision Security Group,17.5,
0.0,Lbm,-106.5,
1.0,Omar Park Homes,643.75,
0.0,Barclays Bank Plc,-105.5,
,Euro Car Parts,23.0,
0.0,Nissan,-107.75,1.0
0.0,Sainsburys,-186.0,1.0
0.0,Nsl Ltd,-236.0,1.0
,Tkmaxx,62.92,
,Fountains,23.0,
,Serco,47.0,
0.0,Glazewing,-55.5,
0.0,East Of England Cooperative,-136.0,1.0
0.0,Give Me My Money,-107.4,1.0
0.0,Nsl Services Group,-49.25,
0.0,Heady Hill Surgery,-141.75,
0.0,Hm Forces,-186.0,1.0
,H M Forces- Army,35.41,
1.0,Scs Ups,193.1,
0.0,Halfords,-167.75,1.0
,Bank Of America,8.25,
,Cellcast,35.25,
0.0,John Cotton,-141.5,1.0
1.0,Nhs - The Whittington Hospital,291.25,
0.0,Alexandra Palace,-125.05,1.0
0.0,Asda,-201.0,1.0
0.0,Fife Council,-176.0,1.0
0.0,Communisis,-21.5,
1.0,Theobald Medical Centre,125.75,
0.0,British Red Cross,-95.5,1.0
0.0,Sps Group,-226.75,1.0
,The Care Division,51.25,
0.0,Tesco Express,-6.5,
0.0,University Of Oxford,-99.75,
,Parkway Leicester Volkswagen,9.725,
0.0,Tesco,-236.0,1.0
1.0,James Jones And Sons Ltd,214.0,
0.0,Cinram Logistics Uk,-155.0,
1.0,Nightfreight,215.25,
0.0,The Health Insurance Group,-7.0,
0.0,Hsbc,-264.25,
0.0,Trs Ltd,-306.75,1.0
0.0,Oakham School,-59.0,1.0
,Dwp,78.0,
1.0,Cordia,262.9,
1.0,Jewish Care,159.15,
0.0,Thetford Ltd,-186.0,1.0
,Hydrosave,23.0,
0.0,Action Direct,-201.0,1.0
0.0,Giles Insurance,-160.9,
0.0,Exclusive,-153.0,1.0
0.0,Wincanton,-161.0,1.0
1.0,Care Uk,185.25,
1.0,Nhs,149.78,
1.0,Pets At Home,279.175,
0.0,Betfred,-202.75,1.0
0.0,Amazon.Co.Uk,-82.25,1.0
0.0,Eat Ltd,-186.0,1.0
0.0,Aak,-17.25,
,Cornwall College,80.675,
,Manchester City Council,52.82,
,Bocm Pauls Exeter,96.75,
0.0,*Morrisons*,-26.5,
1.0,Asda,120.75,
,Admiral Plc,52.5,
0.0,Dobbies Garden World,-186.0,1.0
,T Mobile,23.92,
,Fife Council,20.25,
0.0,Flakt Woods,-259.125,1.0
,J D Mackenzie,23.0,
0.0,Priory Hospital,-108.31,
0.0,F B Heliservices,-59.0,
0.0,South Tees Nhs Trust,-126.95,
0.0,Touch Logistics,-186.0,1.0
,Scottish And Southern Energy,67.5,
0.0,Whitbread Plc,-162.0,1.0
0.0,Safe Hands,-186.0,1.0
1.0,G Casino,539.75,
1.0,Harpercollins,466.5,
0.0,The Aa,-206.0,1.0
,Walton Care Ltd,36.4,
0.0,Inn On The Green,-222.5,
0.0,Mayerbrown,-232.5,
1.0,Maquet,451.0,
,Hf Lettings,37.0,1.0
0.0,Army,-167.75,1.0
0.0,Mccolls,-96.875,1.0
,Greggs,21.25,
1.0,Price Express Transport,207.125,
,Alder Hey Childrens Hospital,92.6,
,Tesco Super Store,1.08,
0.0,Aldridge School,-273.5,1.0
,Speed Office Supplies,-0.4,
0.0,Arriva,-74.75,
